"Year_of_Death","County_of_Residence","Age","Sex","Total_Deaths_sex","Description"
2021,"Alpine","20 - 24 years","Female",0,"rural"
2020,"Alpine","65 - 69 years","Female",6,"rural"
2020,"Alpine","40 - 44 years","Male",0,"rural"
2019,"Alpine","30 - 34 years","Male",0,"rural"
2020,"Alpine","95 - 99 years","Male",0,"rural"
2020,"Alpine","75 - 79 years","Female",6,"rural"
2020,"Alpine","95 - 99 years","Female",0,"rural"
2018,"Alpine","55 - 59 years","Female",6,"rural"
2019,"Alpine","65 - 69 years","Female",0,"rural"
2019,"Alpine","45 - 49 years","Female",0,"rural"
2020,"Alpine","10 - 14 years","Female",0,"rural"
2021,"Alpine","65 - 69 years","Male",0,"rural"
2019,"Alpine","30 - 34 years","Female",0,"rural"
2021,"Alpine","95 - 99 years","Male",0,"rural"
2020,"Alpine","35 - 39 years","Male",6,"rural"
2018,"Alpine","100 years and over","Male",0,"rural"
2021,"Alpine","5 - 9 years","Male",0,"rural"
2018,"Alpine","85 - 89 years","Male",6,"rural"
2020,"Alpine","70 - 74 years","Male",6,"rural"
2021,"Alpine","45 - 49 years","Male",0,"rural"
2021,"Alpine","90 - 94 years","Female",0,"rural"
2021,"Alpine","80 - 84 years","Female",0,"rural"
2020,"Alpine","85 - 89 years","Male",0,"rural"
2020,"Alpine","40 - 44 years","Female",0,"rural"
2021,"Alpine","85 - 89 years","Female",6,"rural"
2018,"Alpine","10 - 14 years","Male",0,"rural"
2020,"Alpine","35 - 39 years","Female",0,"rural"
2019,"Alpine","60 - 64 years","Female",6,"rural"
2021,"Alpine","100 years and over","Female",0,"rural"
2018,"Alpine","30 - 34 years","Female",0,"rural"
2021,"Alpine","75 - 79 years","Male",6,"rural"
2020,"Alpine","80 - 84 years","Female",0,"rural"
2018,"Alpine","40 - 44 years","Female",0,"rural"
2018,"Alpine","20 - 24 years","Female",0,"rural"
2020,"Alpine","1 - 4 years","Male",0,"rural"
2019,"Alpine","25 - 29 years","Male",0,"rural"
2018,"Alpine","70 - 74 years","Female",0,"rural"
2019,"Alpine","5 - 9 years","Male",0,"rural"
2021,"Alpine","45 - 49 years","Female",0,"rural"
2019,"Alpine","55 - 59 years","Female",6,"rural"
2018,"Alpine","90 - 94 years","Male",6,"rural"
2021,"Alpine","25 - 29 years","Male",0,"rural"
2021,"Alpine","40 - 44 years","Female",0,"rural"
2021,"Alpine","85 - 89 years","Male",0,"rural"
2019,"Alpine","25 - 29 years","Female",0,"rural"
2018,"Alpine","10 - 14 years","Female",0,"rural"
2018,"Alpine","30 - 34 years","Male",0,"rural"
2020,"Alpine","30 - 34 years","Female",0,"rural"
2020,"Alpine","25 - 29 years","Female",0,"rural"
2020,"Alpine","75 - 79 years","Male",0,"rural"
2018,"Alpine","25 - 29 years","Female",6,"rural"
2019,"Alpine","55 - 59 years","Male",0,"rural"
